Supplier,Date,Category,Amount,Month
Westvale House,2024-01-11,Nursing Care,943.52,2024-01-01
Croftwood Care UK Ltd,2024-01-11,Permanent Care,2876.0,2024-01-01
Advinia Care Homes Ltd t/a Bedford Care Home,2024-01-11,Permanent Care,3240.0,2024-01-01
18 St John Street Chambers,2024-01-07,Professional Fees,770.0,2024-01-01
DHCH14 Deanwood Manor,2024-01-11,Nursing Care,943.52,2024-01-01
Lee Russell Decorators Ltd,2024-01-07,Subcontracted Repairs,16319.24,2024-01-01
SBW Law Ltd,2024-01-07,Professional Fees,4350.0,2024-01-01
Liberty Gas Group Ltd,2024-01-07,HRA Repairs to Void Properties,641.02,2024-01-01
Pennygate Medical Centre,2024-02-05,Payments to Health Authoritites,3556.21,2024-02-01
CITY PLUMBING SUPPLIES LTD,2024-02-12,Direct Materials,736.82,2024-02-01
Disability Direct,2024-02-05,Direct Payments,810.75,2024-02-01
Valuation Office Agency,2024-02-10,Professional Fees,4720.0,2024-02-01
Mediline Supported Living Ltd,2024-02-08,Payments to Private Contractors,2412.0,2024-02-01
Portakabin Ltd,2024-02-10,GF Capital Expenditure,10993.65,2024-02-01
BDS Contracting Services,2024-02-09,Agency Staff,4352.0,2024-02-01
Red Line Business Service Group t/a Ashwood Care,2024-02-07,Private Domicilliary,860.22,2024-02-01
PAL Electrical (NW) Ltd,2024-03-12,Subcontracted Repairs,2510.04,2024-03-01
Reed Talent Solutions Ltd,2024-03-10,GF Capital Expenditure,3998.17,2024-03-01
JJH Building Contractors Ltd,2024-03-06,Subcontracted Repairs,6013.31,2024-03-01
A Connolly Limited,2024-03-07,HRA Programmed Works,56287.52,2024-03-01
Disability Direct,2024-03-10,Direct Payments,1350.64,2024-03-01
NonStop Recruitment Ltd,2024-03-09,Agency Staff,1794.5,2024-03-01
P N P Electrical Services Ltd,2024-03-05,HRA Disrepair Works,1570.72,2024-03-01
Disability Direct,2024-03-10,Direct Payments,1268.58,2024-03-01
Express Electrical Distributors Ltd,2024-04-25,Direct Materials,928.1,2024-04-01
Ella UK Ltd,2024-04-18,Private Domicilliary,564.35,2024-04-01
Norley Hall Care Home,2024-04-10,Permanent Care,4706.71,2024-04-01
Advinia Care Homes Ltd t/a Bedford Care Home,2024-04-19,Permanent Care,2982.0,2024-04-01
Headliner Hotels Ltd T/A Holiday Inn Express,2024-04-17,Payments to Private Contractors,506.88,2024-04-01
Alma Green Care Home,2024-04-19,Permanent Care,2928.0,2024-04-01
Reed Specialist Recruitment Ltd,2024-04-12,Agency Staff,2372.81,2024-04-01
Croftwood Care UK Ltd,2024-04-10,Respite Care,2876.0,2024-04-01
Royal Liverpool University Hospitals NHS Foundation Trust,2024-05-24,Equipment Furniture & Materials,784.0,2024-05-01
Disability Direct,2024-05-09,Direct Payments,1514.77,2024-05-01
Complete Care Holdings Ltd,2024-05-24,Private Domicilliary,2355.81,2024-05-01
Bracebridge Operations Wigan Ltd t/a The Rowans,2024-05-17,Permanent Care,5988.52,2024-05-01
Dennis Goulding Ltd,2024-05-20,Subcontracted Repairs,11264.08,2024-05-01
Triple Point Lease Partners,2024-05-21,Leasing,17952.25,2024-05-01
Disability Direct,2024-05-30,Direct Payments,1895.69,2024-05-01
QUEST,2024-05-31,Internal Education Services,53326.0,2024-05-01
Cyclescheme Ltd,2024-06-08,Equipment Furniture & Materials,1479.17,2024-06-01
Forbes Solicitors,2024-06-25,Insurance Work and Claims,507.0,2024-06-01
Croftwood Care UK Ltd,2024-06-09,Permanent Care,2876.0,2024-06-01
Reed Specialist Recruitment Ltd,2024-06-14,Agency Staff,1581.01,2024-06-01
Disability Direct,2024-06-20,Direct Payments,3066.0,2024-06-01
Norley Hall Care Home,2024-06-09,Permanent Care,4400.0,2024-06-01
18 St John Street Chambers,2024-06-08,Professional Fees,750.0,2024-06-01
Disability Direct,2024-06-06,Direct Payments,1406.77,2024-06-01
Cherish UK Ltd,2024-07-29,Private Domicilliary,895.9,2024-07-01
Health Assured Ltd,2024-07-05,Payments to Health Authoritites,3343.33,2024-07-01
REDACTED,2024-07-10,Professional Fees,790.0,2024-07-01
Bottomline Technologies Limited,2024-07-29,Computer Software (Licences & Maintenance),1206.57,2024-07-01
Ella UK Ltd,2024-07-30,Private Domicilliary,1026.24,2024-07-01
Reed Specialist Recruitment Ltd,2024-07-05,Agency Staff,1664.26,2024-07-01
H&C Plant Hire Limited,2024-07-16,Vehicle and Plant Hire,4162.5,2024-07-01
Horizon Supported Accomodation Ltd,2024-07-16,Rent,1446.3,2024-07-01
Cherish UK Ltd,2024-08-07,Payments to Private Contractors,1947.2,2024-08-01
DFP Services Ltd,2024-08-23,Repairs & Maintenance (Landlord),4925.02,2024-08-01
Disability Direct,2024-08-29,Direct Payments,1637.11,2024-08-01
REDACTED,2024-08-28,Rent,700.0,2024-08-01
Disability Direct,2024-08-29,Direct Payments,746.17,2024-08-01
